Full Address,Marker Label,Building Code,Filter,Site,Building,Address,Postcode,Service Directorate,Department,TENURE,TERM START,LEASE EXPIRY DATE,1954 ACT SECURITY,NOTICE PERIOD,TERM REMAINING (Yrs),GIA m2 Total,GIA m2 Clinical,GIA m2 Non Clinical,GIA m2 Void,Land Area (ha)
10 Vicarage Lane , E15 4ES, UK,Vicarage Lane  - Vicarage Lane  (2137),2137,CH Newham,Vicarage Lane ,Vicarage Lane ,10 Vicarage Lane ,E15 4ES,Childrens and Specialist Services/CHN Newham/Primary Care,IAPT/Adult Community Services/GP Transitional,UNDER LEASE PLUS AGREEMENT (ULPA),4th December 2017,4th December 2033,No,3 months notice,9,1239.0,61.0,1178.0,0.0,0.1239
Shrewsbury Road , E7 8QP , UK,East Ham Care Centre  - East Ham Care Centre (2171),2171,CH Newham,East Ham Care Centre ,East Ham Care Centre,Shrewsbury Road ,E7 8QP ,MHCOP/Continence/Day Hospital,IP wards (Fothergill; Sally Sherman), Continence and Pelvic Rehabilitation Service,UNDER LEASE PLUS AGREEMENT (ULPA),3rd January 2017,14th October 2031,No,3 months notice,9,6676.0,6496.0,180.0,0.0,0.6676
Shrewsbury Road , E7 8QR, UK,East Ham Memorial Hospital  - East Ham Memorial Building (2172),2172,CH Newham,East Ham Memorial Hospital ,East Ham Memorial Building,Shrewsbury Road ,E7 8QR,Newham MH,ABT Service/clinical team base,LEASEHOLD,,,No,,5,426.68,307.0,19.0,0.0,0.042668
121 Woodgrange Road , E7 0EP , UK,Lord Lister Health Centre  - Lord Lister  (2165),2165,CH Newham,Lord Lister Health Centre ,Lord Lister ,121 Woodgrange Road ,E7 0EP ,Childrens and Specialist Services/CH Newham,SCYPS/LD Autism Service,MoTo,2021-11-01 00:00:00,2029-01-11 00:00:00,No,3 months notice,5,276.22,,,0.0,0.027622000000000004
Alma St, LU1 2PJ, UK,Charter House  - Charter House (2173),2173,Luton,Charter House ,Charter House,Alma St,LU1 2PJ,Childrens and Specialist Services/Corporate/Trust HQ/Bedfordshire & Luton MH/ Quality & Performance ,CAMHS/Finance/Digital/E & F/ EIS/ HR/ Performance/Safeguarding/Exec/Pshycology/ RSI Team/ Clozepine Clinic/ CMHT ,LH - Assigned Lease,1905-07-10 00:00:00,29th Mar 2027,Yes,,3,2702.5,2593.0,110.0,0.0,0.27025
Alma St, LU1 2PJ, UK,Car Parking & Premises at Alma St - Charter House (nan),,Luton,Car Parking & Premises at Alma St,Charter House,Alma St,LU1 2PJ,Luton Mental Health,-,LH - Assigned Lease,m/a,,Yes,,3,0.0,0.0,0.0,0.0,0.0
Lewsey Rd, Luton , LU4 0DZ, UK, The L&D Hospital, Lewsey Rd, Luton LU4 0DZ - A&E Department (2175),2175,Luton, The L&D Hospital, Lewsey Rd, Luton LU4 0DZ,A&E Department,Lewsey Rd, Luton ,LU4 0DZ,Luton Mental Health, PLS (Pshyciatric Liaison Service),Informal arrangement,,,No,,0,20.0,,,,0.002
Calnwood Road, LU4 0FB, UK,(Calnwood Court) Luton & Central Beds - Crystal Ward  - Calnwood Court (2176e),2176e,Luton,(Calnwood Court) Luton & Central Beds - Crystal Ward ,Calnwood Court,Calnwood Road,LU4 0FB,Luton Mental Health,Inpatient,FREEHOLD,2nd February 2011,,,,0,741.46,707.0,34.0,0.0,0.074146
Calnwood Road, LU4 0FB, UK,Robin Pinto Unit  - Calnwood Court (2176a),2176a,Luton,Robin Pinto Unit ,Calnwood Court,Calnwood Road,LU4 0FB,Luton Mental Health/Corporate ,MH Law/ OT (EPUT) / Medical Education / Pshyciatrists,FREEHOLD,2nd February 2011,,,,0,799.0,707.0,34.0,0.0,0.0799
Calnwood Road, LU4 0FB, UK,(Calnwood Court) Luton & Central Beds - CAMHS Evergeen - Calnwood Court (2176d),2176d,Luton,(Calnwood Court) Luton & Central Beds - CAMHS Evergeen,Calnwood Court,Calnwood Road,LU4 0FB,Children's and Specialist Services,CAMHS Evergreen Inpatient,FREEHOLD,2nd February 2011,,,,0,615.06,605.0,10.0,0.0,0.06150599999999999
Calnwood Road, LU4 0FB, UK,Luton & Central MH - Sports Hall  - Calnwood Court (2176a),2176a,Luton,Luton & Central MH - Sports Hall ,Calnwood Court,Calnwood Road,LU4 0FB,Luton Mental Health / Gym and Sports Hall leased to EPUT ,EPUT,FREEHOLD,,,,,0,464.2,464.0,0.0,0.0,0.046419999999999996
Calnwood Road, LU4 0FB, UK,Luton & Central MH Inpatient Unit 2 -  Onyx Ward - Calnwood Court (2176c),2176c,Luton,Luton & Central MH Inpatient Unit 2 -  Onyx Ward,Calnwood Court,Calnwood Road,LU4 0FB,Luton Mental Health,Inpatient ,FREEHOLD,,,,,0,765.14,751.0,14.0,0.0,0.076514
Calnwood Road, LU4 0FB, UK,Luton & Central MH Outpatient Unit 2 - ECT Suite and Pharmacy - Calnwood Court (2176b),2176b,Luton,Luton & Central MH Outpatient Unit 2 - ECT Suite and Pharmacy,Calnwood Court,Calnwood Road,LU4 0FB,Luton Mental Health,ECT/Pharmacy/Deputy Borough Director Offices,FREEHOLD,,,,,0,235.96,201.0,35.0,0.0,0.023596000000000002
Calnwood Road, LU4 0DZ, UK,Luton & Central MH - Coral Ward  - Calnwood Court (2176f),2176f,Luton,Luton & Central MH - Coral Ward ,Calnwood Court,Calnwood Road,LU4 0DZ,Luton Mental Health,Inpatient,FREEHOLD,,,,,0,1693.76,1494.0,200.0,0.0,0.169376
Calnwood Road, LU4 0DZ, UK,Luton & Central MH - Jade Ward/PICU Inpatient Unit 3 - Calnwood Court (2176g),2176g,Luton,Luton & Central MH - Jade Ward/PICU Inpatient Unit 3,Calnwood Court,Calnwood Road,LU4 0DZ,Luton Mental Health,Inpatient ,FREEHOLD,,,,,0,,,,0.0,0.0
Calnwood Road, LU4 0DZ, UK,Luton & Central MH - Section 136 & Seclusion Room Unit Inpatient Unit 3 - Calnwood Court (nan),,Luton,Luton & Central MH - Section 136 & Seclusion Room Unit Inpatient Unit 3,Calnwood Court,Calnwood Road,LU4 0DZ,Luton Mental Health,Inpatient,FREEHOLD,,,,,0,,,,0.0,0.0
Angel Close, LU4 9WT, UK,Oakley Court  - Oakley Court (2177),2177,Luton,Oakley Court ,Oakley Court,Angel Close,LU4 9WT,Bedford Mental Health,Inpatient - ASH/WILLOW WARD ,LEASEHOLD,2023-11-28 00:00:00,2025-11-28 00:00:00,Yes,6 months,1,1397.0,1341.0,56.0,0.0,0.1397
Tenth Avenue , LU3 3EP, UK,Sundon Park Health Centre - Sundon Park (2259),2259,Luton,Sundon Park Health Centre,Sundon Park,Tenth Avenue ,LU3 3EP,Bedford CHS,Podiatry,LEASEHOLD,2022-02-18 00:00:00,2032-02-18 00:00:00,No,3 months notice,8,70.0,,,0.0,0.007
St George's Square, LU1 2NG, UK,Luton Central Library - Luton Central Library (2264),2264,Luton,Luton Central Library,Luton Central Library,St George's Square,LU1 2NG,Luton Mental Health,Team Base / Luton Recovery College,LEASEHOLD,1st April 2020,2027-04-01 00:00:00,No,3 months notice,3,92.0,,,0.0,0.0092
Buxton Road, LU1 1SD, UK,Luton Police Station - Luton Police Station (nan),,Luton,Luton Police Station,Luton Police Station,Buxton Road,LU1 1SD,Luton Mental Health,Court Liaison & Diversion Team Base,PERIODIC UNDOCUMENTED TENANCY,2020-04-01 00:00:00,2025-04-01 00:00:00,No,1 month,1,15.0,0.0,15.0,0.0,0.0015
57 Oliver Street, MK45 2SB, UK,Ampthill Health Centre - Ampthill Health Centre (2214),2214,Central Bedfordshire,Ampthill Health Centre,Ampthill Health Centre,57 Oliver Street,MK45 2SB,Bedford CHS, PCH Mid Nursing,  Specialist Nursing, Specialist Palliative Care, Heart Failure,LEASEHOLD,2018-04-01 00:00:00,2028-03-31 00:00:00,No,3 months notice,4,149.53,,,0.0,0.014953
Saffron Road , SG18 8DJ, UK,Biggleswade Health Centre - Biggleswade Health Centre (2215),2215,Central Bedfordshire,Biggleswade Health Centre,Biggleswade Health Centre,Saffron Road ,SG18 8DJ,Bedford CHS,PCH Mid Nursing, Specialist Nursing, Specialist Palliative Care,LEASEHOLD,2018-04-01 00:00:00,2028-03-31 00:00:00,No,3 months notice,4,169.87,,,0.0,0.016987000000000002
Potton Road, SG18 0EL, UK,Biggleswade Hospital - (Halsey Ward) - Biggleswade Hospital (Halsey Ward) (2183b),2183b,Central Bedfordshire,Biggleswade Hospital - (Halsey Ward),Biggleswade Hospital (Halsey Ward),Potton Road,SG18 0EL,Bedfordshire Mental Health,CMHT,LEASEHOLD,,Implied Deemed Agreement,No,3 months notice,5,146.0,0.0,0.0,0.0,0.0146
3 Kimbolton Road , MK40 2NT, UK,Bedford Health Village - Enhanced Services Centre (main Lease) (2246),2246,Central Bedfordshire,Bedford Health Village,Enhanced Services Centre (main Lease),3 Kimbolton Road ,MK40 2NT,Bedford CHS,Podiatry, Specialist Nursing, Continence, Heart Failure, Tissue Viability ,UNDER LEASE PLUS AGREEMENT (ULPA),2018-04-11 00:00:00,2034-11-28 00:00:00,No,3 months notice,11,2343.0,,,0.0,0.2343
Kempston Road , MK42 9DJ , UK,Bedford Hospital - Omberseley House - Part of Ground Floor, Omberseley House (Portacabin) (2216b),2216b,Central Bedfordshire,Bedford Hospital - Omberseley House,Part of Ground Floor, Omberseley House (Portacabin),Kempston Road ,MK42 9DJ ,Bedford Mental Health,PLS Team base / Bedford Crisis Pathway,LICENCE ,2023-06-19 00:00:00,2028-03-31 00:00:00,No,3 months notice,4,67.0,,,0.0,0.0067
The Highlands , MK45 1DZ, UK,Flitwick Health Centre - Flitwick Health Centre (2218),2218,Central Bedfordshire,Flitwick Health Centre,Flitwick Health Centre,The Highlands ,MK45 1DZ,Bedford CHS,Podiatry, Continence, Heart Failure, Specialist Palliative Care,LEASEHOLD,2018-04-01 00:00:00,2028-03-31 00:00:00,No,3 months notice,4,375.48,,,0.0,0.037548000000000005
3 Kimbolton Road , MK40 2NX, UK,Florence Ball House - Bedford Health Village (Main Lease) (2189),2189,Bedfordshire,Florence Ball House,Bedford Health Village (Main Lease),3 Kimbolton Road ,MK40 2NX,Bedford Mental Health,Bedford CMHT,LEASEHOLD,2022-03-31 00:00:00,2032-03-30 00:00:00,No,3 months notice,8,1052.0,,,0.0,0.1052
3 Kimbolton Road , MK40 2NX, UK,Florence Ball House - Bedford Health Village (peppercorn)  (2189),2189,Bedfordshire,Florence Ball House,Bedford Health Village (peppercorn) ,3 Kimbolton Road ,MK40 2NX,Luton Mental Health,Bedford CMHT,LEASEHOLD,,,No,3 months notice,6,154.48,,,0.0,0.015447999999999998
3 Kimbolton Road , MK40 2NT, UK,John Bunyan House (Part Ground Floor only) - John Bunyan House  (2220),2220,Bedfordshire,John Bunyan House (Part Ground Floor only),John Bunyan House ,3 Kimbolton Road ,MK40 2NT,Bedford Mental Health,MMHS / Perinatal and Mental Health OCEAN services,LEASEHOLD,2018-04-01 00:00:00,2028-03-31 00:00:00,No,3 months notice,4,205.39,,,0.0,0.020538999999999998
Halsey Road, Kempston, MK42 8AU, UK,Kempston Clinic - Kempston Clinic (2221),2221,Bedfordshire,Kempston Clinic,Kempston Clinic,Halsey Road, Kempston,MK42 8AU,Bedford CHS,Podiatry, Chronic Fatigue, Health Psychology,LEASEHOLD,2018-04-01 00:00:00,2028-03-31 00:00:00,No,3 months notice,4,445.61,,,0.0,0.044561
25 Bassett Road , LU7 1AR, UK,Leighton Buzzard Health Centre - Leighton Buzzard Health Centre (2222),2222,Central Bedfordshire,Leighton Buzzard Health Centre,Leighton Buzzard Health Centre,25 Bassett Road ,LU7 1AR,Bedford CHS,Podiatry, Continence, Heart Failure, Specialist Nursing,LEASEHOLD,1st April 2018,2028-03-31 00:00:00,No,3 months notice,4,295.18,,,0.0,0.029518
Friars Walk , LU6 3JA, UK,Queensborough House - Queensborough House (2228),2228,Central Bedfordshire,Queensborough House,Queensborough House,Friars Walk ,LU6 3JA,Bedford CHS,SPOA, Admin & Management, Clinical Advisors,LEASEHOLD,,2026-09-29 00:00:00,No,3 months notice,2,509.16,,509.16,0.0,0.050916
Robert Lucas Drive , SG17 5FS, UK,Shefford Health Centre - Shefford Health Centre (nan),,Central Bedfordshire,Shefford Health Centre,Shefford Health Centre,Robert Lucas Drive ,SG17 5FS,Bedford CHS, Podiatry, PCH Mid Nursing, MCH Mid Therapy, Specialist Nursing, Continence, Heart Failure, Specialist Palliative Care, Tissue Viability,LEASEHOLD,,2035,No,3 months notice,11,631.01,,,0.0,0.063101
Froghall Road, Steppingley, MK45 1AB, UK,Steppingley Hospital Admin Block - Steppingley Hospital  (2252a),2252a,Central Bedfordshire,Steppingley Hospital Admin Block,Steppingley Hospital ,Froghall Road, Steppingley,MK45 1AB,Bedford CHS,Specialist Nursing,LEASEHOLD,2018-04-01 00:00:00,2028-03-31 00:00:00,No,3 months notice,4,44.44,,,0.0,0.004444
Froghall Road, Steppingley, MK45 1AB, UK,Steppingley Hospital Verandah Block - Steppingley Hospital  (2252d),2252d,Central Bedfordshire,Steppingley Hospital Verandah Block,Steppingley Hospital ,Froghall Road, Steppingley,MK45 1AB,Bedford CHS,Weelchair Services Team Base,LEASEHOLD,2018-04-01 00:00:00,2028-03-31 00:00:00,No,3 months notice,4,276.98,,,0.0,0.027698
Froghall Road, Steppingley, MK45 1AB, UK,Steppingley Hospital, Thornton/Russell Ward  - Steppingley Hospital  (2252b),2252b,Central Bedfordshire,Steppingley Hospital, Thornton/Russell Ward ,Steppingley Hospital ,Froghall Road, Steppingley,MK45 1AB,Bedford CHS,Wheelchair Services & Management,LEASEHOLD,,Implied Deemed Agreement,No,3 months notice,5,103.28,,,0.0,0.010328
Froghall Road, Steppingley, MK45 1AB, UK,Steppingley Hospital, Meadow Lodge - Steppingley Hospital  (2252e),2252e,Central Bedfordshire,Steppingley Hospital, Meadow Lodge,Steppingley Hospital ,Froghall Road, Steppingley,MK45 1AB,Bedfordshire Mental Health,CMHT ,LEASEHOLD,,Implied Deemed Agreement,No,3 months notice,5,186.35,,,0.0,0.018635
Froghall Road, Steppingley, MK45 1AB, UK,Steppingley Hospital, Orchard Ward - Steppingley Hospital  (2252c),2252c,Central Bedfordshire,Steppingley Hospital, Orchard Ward,Steppingley Hospital ,Froghall Road, Steppingley,MK45 1AB,Bedford CHS,Specialist Nursing,LEASEHOLD,2018-04-01 00:00:00,2028-03-31 00:00:00,No,3 months notice,4,209.35,,,0.0,0.020935
Froghall Road, Steppingley, MK45 1AB, UK,Steppingley Hospital, Porters Store (WCS Stores) - Steppingley Hospital  (2252f),2252f,Central Bedfordshire,Steppingley Hospital, Porters Store (WCS Stores),Steppingley Hospital ,Froghall Road, Steppingley,MK45 1AB,Bedford CHS,WCS Stores,LEASEHOLD,2018-04-01 00:00:00,2028-03-31 00:00:00,No,3 months notice,4,24.61,,,0.0,0.002461
Wigmore Lane , LU2 8BG, UK,Wigmore Lane Health Centre - Part Ground Floor  - Wigmore Lane Health Centre (2232),2232,Bedfordshire,Wigmore Lane Health Centre - Part Ground Floor ,Wigmore Lane Health Centre,Wigmore Lane ,LU2 8BG,Bedford CHS,Podiatry & Continence,LEASEHOLD,2018-04-01 00:00:00,2028-03-31 00:00:00,No,3 months notice,4,127.91,,,0.0,0.012791
67 High St North , LU6 1JF, UK,67 High St - Ground Floor - 67 High St North (2179),2179,Central Bedfordshire,67 High St - Ground Floor,67 High St North,67 High St North ,LU6 1JF,Children and Specialist Services,CAMHS,LEASEHOLD,24th August 2023,2026-08-23 00:00:00,Yes,,2,350.0,342.0,28.0,0.0,0.035
29 Barford Avenue , MK42 0DS, UK,Barford Avenue - Barford Avenue (2180),2180,Bedfordshire,Barford Avenue,Barford Avenue,29 Barford Avenue ,MK42 0DS,Bedford Mental Health,MAPA ,LEASEHOLD - Currently on a TaW ,1st April 2015,31/03/2024 *renewal being negotiated,Yes,3 months notice,0,237.17,210.0,27.0,0.0,0.023717
5 Regent Street, LU6 1LP, UK,Beacon House - Currently closed - Beacon House (2181),2181,Central Bedfordshire,Beacon House - Currently closed,Beacon House,5 Regent Street,LU6 1LP,Luton Mental Health,Currently Closed. Former CMHT Team Base,FREEHOLD,3rd Februay 2011,,,,,464.46,446.0,18.0,0.0,0.046446
5 Beech Close, LU6 3SD, UK,Beech Close Resource Centre - Beech Close Resource Centre (2182),2182,Central Bedfordshire,Beech Close Resource Centre,Beech Close Resource Centre,5 Beech Close,LU6 3SD,Children and Specialist Services,CAMHS / SPLD,FREEHOLD,3rd February 2011,,,,0,552.27,516.0,36.0,0.0,0.055227
Beech Close Bungalows, LU6 3SD, UK,Beech Close Bungalows - 2&4 Beech Close (2251a),2251a,Central Bedfordshire,Beech Close Bungalows,2&4 Beech Close,Beech Close Bungalows,LU6 3SD,Luton Mental Health,Older Peoples / Dementia clinic for outpatients,LEASEHOLD,2021-01-17 00:00:00,2026-01-17 00:00:00,Yes,6 Months,2,562.0,,,0.0,0.0562
Spring House, SG18 0EL, UK,Biggleswade Hospital - Spring House - Biggleswade Hospital  (2183a),2183a,Central Bedfordshire,Biggleswade Hospital - Spring House,Biggleswade Hospital ,Spring House,SG18 0EL,Bedfordshire Mental Health,CMHT,LEASEHOLD,1905-07-05 00:00:00,2030,No,,6,236.3,101.0,0.0,0.0,0.02363
Woburn Road, MK43 9AX, UK,Bedfordshire Police Station - Bedfordshire Police Station, Woburn Road (nan),,Bedfordshire,Bedfordshire Police Station,Bedfordshire Police Station, Woburn Road,Woburn Road,MK43 9AX,Bedfordshire Mental Health,Court Liaison & Diversion Team Base,LEASEHOLD,2020-07-01 00:00:00,2025-07-01 00:00:00,No,,1,12.0,0.0,0.0,0.0,0.0012
3 Kimbolton Road , MK40 2NT, UK,Cedar House - Inpatient Unit - Cedar House (2184),2184,Bedfordshire,Cedar House - Inpatient Unit,Cedar House,3 Kimbolton Road ,MK40 2NT,Bedfordshire Mental Health,Inpatient - Medium to long term mental health rehabilitation units (Length of stay: 12+ Months),LEASEHOLD,1st April 2010,31st March 2030,No,3 months notice,6,1073.73,906.0,168.0,0.0,0.107373
36 Hockliffe Street , LU7 1HJ, UK,Crombie House - Crombie House (2185),2185,Central Bedfordshire,Crombie House,Crombie House,36 Hockliffe Street ,LU7 1HJ,Bedfordshire Mental Health,Leighton Buzzard Community Mental Health Team,FREEHOLD,3rd February 2011,,No,,0,367.64,349.0,19.0,0.0,0.036764
Kimbolton Road, MK40 2NU, UK,Gilbert Hitchcock House - Part 1st & Second Floors - Gilbert Hitchcock House (2213),2213,Bedfordshire,Gilbert Hitchcock House - Part 1st & Second Floors,Gilbert Hitchcock House,Kimbolton Road,MK40 2NU,Children and Specialist Services,IAPT,LEASEHOLD,May.2016,2026-04-01 00:00:00,No,3 months notice,2,365.0,355.0,10.0,0.0,0.0365
3 Woburn Road, MK40 1EG, UK,Recovery College - 3 Woburn Road - Recovery College (2188),2188,Bedfordshire,Recovery College - 3 Woburn Road,Recovery College,3 Woburn Road,MK40 1EG,Bedfordshire Mental Health,Wellbeing & Recovery Service,LEASEHOLD - Currently on a TaW ,1st April 2015,31/03/2024 * Renewal being negotiated ,No,3 months notice,0,467.09,439.0,28.0,0.0,0.046709
3 Kimbolton Road , MK40 2NX, UK,Fountains Court (Peppercorn Lease) - Fountains Court (2190),2190,Bedfordshire,Fountains Court (Peppercorn Lease),Fountains Court,3 Kimbolton Road ,MK40 2NX,Bedfordshire Mental Health,Older People Inpatient Services,LEASEHOLD,1st April 2010,31st March 2030,No,,6,644.65,980.0,111.0,0.0,0.064465
18 Grove Place (Suite C,D & F), MK40 3LE, UK,18 Grove Place - Grove Place (2271),2271,Bedfordshire,18 Grove Place,Grove Place,18 Grove Place (Suite C,D & F),MK40 3LE,Childrens and Specialist Services,CAMHS,LEASEHOLD* Lease to be completed 14/04/25,2025-04-14 00:00:00,2030-04-14 00:00:00,Yes,3 months notice,5,190.61,0.0,0.0,0.0,0.019061
24 Grove Place , MK40 3LE, UK,24 Grove Place - Grove Place (nan),,Bedfordshire,24 Grove Place,Grove Place,24 Grove Place ,MK40 3LE,Childrens and Specialist Services,CAMHS,LH - Assigned Lease,30th September 2018,27th September 2028,Yes,,4,331.11,317.0,14.0,0.0,0.033111
Off Grove Place, MK40 3LE, UK,3 Rush Cout  - Grove Place (2192),2192,Bedfordshire,3 Rush Cout ,Grove Place,Off Grove Place,MK40 3LE,Childrens and Specialist Services,CAMHS,LEASEHOLD,2018-09-28 00:00:00,2028-09-27 00:00:00,Yes,,4,143.8,143.8,0.0,0.0,0.01438
Off Grove Place, MK42 3JT, UK,Rush Court 5-7 & 5-9 - Rush Court 5-7 & 5-9 (2193),2193,Bedfordshire,Rush Court 5-7 & 5-9,Rush Court 5-7 & 5-9,Off Grove Place,MK42 3JT,Childrens and Specialist Services,CAMHS,LEASEHOLD,2018-09-28 00:00:00,2028-09-27 00:00:00,Yes,,4,640.56,621.0,20.0,0.0,0.06405599999999999
Rush Court, MK42 3JT, UK,Rush Court  - Rush Court  (nan),,Bedfordshire,Rush Court ,Rush Court ,Rush Court,MK42 3JT,Childrens and Specialist Services,,LEASEHOLD,,,Yes,,0,0.0,0.0,0.0,0.0,0.0
Mayer Way , LU5 5BF, UK,The Poplars - The Poplars (2195),2195,Central Bedfordshire,The Poplars,The Poplars,Mayer Way ,LU5 5BF,Luton Mental Health,Older Peoples - Inpatient,FREEHOLD,,,,,0,1037.55,918.0,120.0,0.0,0.103755
21 The Crescent, MK40 2RT, UK,21, The Crescent  - The Crescent  (2196),2196,Bedfordshire,21, The Crescent ,The Crescent ,21 The Crescent,MK40 2RT,Children and Specialist Services,P2R,LEASEHOLD,2021-08-17 00:00:00,2024-08-17 00:00:00,Yes,,0.1,400.0,383.0,17.0,0.0,0.04
The Baulk, SG18 0PT, UK,The Lawns - The Lawns (2198),2198,Central Bedfordshire,The Lawns,The Lawns,The Baulk,SG18 0PT,Bedfordshire Mental Health,Mid Beds Community Mental Health Team for Older People,FREEHOLD,1905-06-23 00:00:00,,,,0,488.21,480.0,8.0,0.0,0.048820999999999996
2 The Glades,Northampton Road, Bromham, Bedford, MK43 8HJ, UK,The Coppice - The Coppice, 2 The Glades (nan),,Bedfordshire,The Coppice,The Coppice, 2 The Glades,2 The Glades,Northampton Road, Bromham, Bedford,MK43 8HJ,Bedford Mental Health,Currently Closed. Inpatient Ward for people with learning disability ,FREEHOLD,9th September 2007,,,,0,250.0,16.0,,0.0,0.025
56 High St South, LU6 3HD, UK,Mountbatten House - Mountbatten House (2621),2621,Bedfordshire,Mountbatten House,Mountbatten House,56 High St South,LU6 3HD,Bedford CHS / Bedfordshire Mental Health ,Chronic Fatigue & Health Psychology / Eating Disorders & Complex Needs / Cancer Palliative Care,LEASEHOLD,13th October 2020,13th October 2027,No,,3,1108.0,,,0.0,0.1108
Mayer Way , LU5 5BF, UK,Townsend Court - Townsend Court (2199),2199,Central Bedfordshire,Townsend Court,Townsend Court,Mayer Way ,LU5 5BF,Bedfordshire Mental Health,Female Working Age Inpatient Services,FREEHOLD,,,,,0,1131.58,1095.0,37.0,0.0,0.113158
Twinwoods Health Resource Centre, Milton Road, Clapham, Bedford, MK41 6AT, UK,Twinwoods - The Lodge (2200e),2200e,Bedfordshire,Twinwoods,The Lodge,Twinwoods Health Resource Centre, Milton Road, Clapham, Bedford,MK41 6AT,Bedfordshire Mental Health / Digital / Corporate  ,E&F / Digital / IPC / Rydon Hard FM Office Base,FREEHOLD,1st April 2015,,,,0,2922.506489,2046.0,199.0,0.0,0.29225064889999997
Twinwoods Health Resource Centre, Milton Road, Clapham, Bedford, MK41 6AT, UK,Twinwoods - Admin Block (2200c),2200c,Bedfordshire,Twinwoods,Admin Block,Twinwoods Health Resource Centre, Milton Road, Clapham, Bedford,MK41 6AT,Bedfordshire Mental Health / Bedford CHS,Admin, Specialist Nursing, Warfarin/Phlebotomy, Management, PCH North Therapy,FREEHOLD,1st April 2015,,,,0,8819.401464999999,2046.0,199.0,0.0,0.8819401464999999
Twinwoods Health Resource Centre, Milton Road, Clapham, Bedford, MK41 6AT, UK,Twinwoods - Whitbread Centre  (2200g),2200g,Bedfordshire,Twinwoods,Whitbread Centre ,Twinwoods Health Resource Centre, Milton Road, Clapham, Bedford,MK41 6AT,Bedfordshire Mental Health,Bedford  older adults cmht / Crisis resolution / Memory assessment service,FREEHOLD,1st April 2015,,,,0,4270.254408,2046.0,199.0,0.0,0.4270254408
Twinwoods Health Resource Centre, Milton Road, Clapham, Bedford, MK41 6AT, UK,Twinwoods - Russell Centre  (2200b),2200b,Bedfordshire,Twinwoods,Russell Centre ,Twinwoods Health Resource Centre, Milton Road, Clapham, Bedford,MK41 6AT,Bedfordshire Mental Health,OCS office  / Digital comms room,FREEHOLD,1st April 2015,,,,0,2565.03737,2046.0,199.0,0.0,0.256503737
Twinwoods Health Resource Centre, Milton Road, Clapham, Bedford, MK41 6AT, UK,Twinwoods - Raymond Smith  (2200a),2200a,Bedfordshire,Twinwoods,Raymond Smith ,Twinwoods Health Resource Centre, Milton Road, Clapham, Bedford,MK41 6AT,Bedfordshire Mental Health,Health facilitation team / Transforming care team / IST – intensive support team / Occupational therapy / Occupational health – Thursdays,FREEHOLD,1st April 2015,,,,0,3499.451529,2046.0,199.0,0.0,0.3499451529
Twinwoods Health Resource Centre, Milton Road, Clapham, Bedford, MK41 6AT, UK,Twinwoods - Clinical Resource  (2200f),2200f,Bedfordshire,Twinwoods,Clinical Resource ,Twinwoods Health Resource Centre, Milton Road, Clapham, Bedford,MK41 6AT,Bedfordshire Mental Health,Art therapy / Physio / Autism service /  S.a.l.t (speech & language) / Sight & hearing /  Admin / Reception 
Health facilitation / Community psychiatrists / 
Occupational therapy / Psychology & positive behaviour,FREEHOLD,1st April 2015,,,,0,4179.299453,2046.0,199.0,0.0,0.41792994529999994
Twinwoods Health Resource Centre, Milton Road, Clapham, Bedford, MK41 6AT, UK,Twinwoods - Whitchurch Centre (2200d),2200d,Bedfordshire,Twinwoods,Whitchurch Centre ,Twinwoods Health Resource Centre, Milton Road, Clapham, Bedford,MK41 6AT,Bedford CHS,PCH North Nursing, PCH North Therapy, Specialist Nursing, Bedfordshire Mental Health and Wellbeing Service, Bedford Recovery Service, Specialist Services for People with a Learning Disability (Bedfordshire and Luton), Learning Disabilities Intensive Support Team - Bedfordshire, Early Intervention Service (Bedfordshire), Bedford Older People's CMHT,FREEHOLD,1st April 2015,,,,0,3500.5279189999997,2046.0,199.0,0.0,0.3500527919
Whichellos Wharf, The Elms, Stoke Road, Linslade, Leighton Buzzard , LU7 2TD, UK,Whichellos Wharf - Whichellos Wharf (2201),2201,Central Bedfordshire,Whichellos Wharf,Whichellos Wharf,Whichellos Wharf, The Elms, Stoke Road, Linslade, Leighton Buzzard ,LU7 2TD,Luton Mental Health / Children's and Specialist Services,Light House recovery service/IAPT/ CAMHS,FREEHOLD,12th March 1998,,,,0,563.8,536.0,28.0,0.0,0.05637999999999999
Whichellos Wharf, The Elms, Stoke Road, Linslade, Leighton Buzzard , LU7 2TD, UK,Whichellos Wharf Cottage - Whichellos Wharf Cottage (2239),2239,Central Bedfordshire,Whichellos Wharf Cottage,Whichellos Wharf Cottage,Whichellos Wharf, The Elms, Stoke Road, Linslade, Leighton Buzzard ,LU7 2TD,Storage facility for OCS,OCS Stores Room Facility,FREEHOLD,,,,,0,106.9,105.0,2.0,0.0,0.01069
18 Rothsay Road, MK40 3PN, UK,Kelvin Grove  - Kelvin Grove  (2238),2238,Bedfordshire,Kelvin Grove ,Kelvin Grove ,18 Rothsay Road,MK40 3PN,Homes for life - Places for People,Homes for life ,FREEHOLD,,,,,0,112.0,112.0,0.0,0.0,0.0112
