Full Address,Marker Label,Building Code,Filter,Site,Building,Address,Postcode,Service Directorate,Department,TENURE,TERM START,LEASE EXPIRY DATE,1954 ACT SECURITY,NOTICE PERIOD,TERM REMAINING (Yrs),GIA m2 Total,GIA m2 Clinical,GIA m2 Non Clinical,GIA m2 Void,Land Area (ha)
121 Westferry Road , E14 8JH, UK,Barkantine Centre  - Barkantine Centre  (2119),2119,Tower Hamlets,Barkantine Centre ,Barkantine Centre ,121 Westferry Road ,E14 8JH,TH Mental Health,Neighbourhood Mental Health Team,UNDER LEASE PLUS AGREEMENT (ULPA),2018-02-27 00:00:00,27th Nov 2032,No,3 months notice,8,1165.42,1141.0,24.0,0.0,0.116542
21 Newby Place , E14 0EY, UK,Newby Place - Newby Place Health and Wellbeing Centre (2118),2118,Tower Hamlets,Newby Place,Newby Place Health and Wellbeing Centre,21 Newby Place ,E14 0EY,TH CHS,Foot Health (1 Room), Extended Primary Care Teams x 2 / Accelerate CIC ,UNDER LEASE PLUS AGREEMENT (ULPA),2019-02-01 00:00:00,4th May 2037,No,3 months notice,13,135.0,31.85,103.15,0.0,0.0135
160 Whitechapel Road, London , E1 1BJ , UK,Tower Hamlets Town Hall - 160 Whitechapel Road  (2258),2258,Tower Hamlets,Tower Hamlets Town Hall,160 Whitechapel Road ,160 Whitechapel Road, London ,E1 1BJ ,Tower Hamlets MH,TH Crisis Liaison,LEASEHOLD,2023-03-28 00:00:00,2026-05-23 00:00:00,No,,2,287.0,0.0,0.0,0.0,0.0287
1 Roger Dowley Court, E2 9NJ, UK,The Green  - The Green  (2120),2120,Tower Hamlets,The Green ,The Green ,1 Roger Dowley Court,E2 9NJ,IT/IMT/Mental Health ACT Office,IT Service Desk / Networks Team,LEASEHOLD,1993-06-24 00:00:00,2092-06-23 00:00:00,Yes,None specified,68,1923.0,0.0,1923.0,0.0,0.1923
11 Gill Street, E14 8HQ, UK,Emmanuel Miller Centre (Gill St Health Centre) - Emmanuel Miller Centre (Gill St Health Centre) (2206),2206,Tower Hamlets,Emmanuel Miller Centre (Gill St Health Centre),Emmanuel Miller Centre (Gill St Health Centre),11 Gill Street,E14 8HQ,Children and Specialist Services,CAMHS,NO LEASE - PERIODIC UNDOCUMENTED TENANCY ,Lease not agreed yet,Implied Deemed Agreement,No,3 months notice,,263.73,202.29,101.13,0.0,0.026373
86 Old Montague St, E1 5NN, UK,Old Montague St - Old Montague St (2121),2121,Tower Hamlets,Old Montague St,Old Montague St,86 Old Montague St,E1 5NN,TH Mental Health,Rehab, Clozapine, Therapy Club; AOS, RAMHP ,LEASEHOLD,2006-06-24 00:00:00,3005-06-23 00:00:00,Yes,None specified,981,1247.0,1123.0,124.0,0.0,0.1247
16-18 Greatorex St , E1 5NF, UK,Greatorex St - Greatorex St  (2122),2122,Tower Hamlets,Greatorex St,Greatorex St ,16-18 Greatorex St ,E1 5NF,Children and Specialist Services,CAMHS,LEASEHOLD,2006-06-24 00:00:00,3005-06-23 00:00:00,Yes,None specified,981,440.0,420.0,20.0,0.0,0.044
51 Three Colts Lane, E2 6BF, UK,Three Colts Lane  - Three Colts Lane (2123),2123,Tower Hamlets,Three Colts Lane ,Three Colts Lane,51 Three Colts Lane,E2 6BF,TH Mental Health,Tower Hamlets Early Intervention Service and Early Detection Service. CMHT, EIS, EDS - Adult Mental Health Service,LEASEHOLD,2011-07-01 00:00:00, 30 June 2210,Yes,None specified,186,1168.0,1092.0,76.0,0.0,0.1168
9-11 Brick Lane, Spitalfields, E1 6PU , UK,Health E1  - Health E1  (2245),2245,Tower Hamlets,Health E1 ,Health E1 ,9-11 Brick Lane, Spitalfields,E1 6PU ,Primary Care / IG ,GP Practice / Information Governance,NO LEASE - PERIODIC UNDOCUMENTED TENANCY ,,,No,,,354.5,,,0.0,0.03545
71 Johnson Street, E1 0AQ, UK,71 Johnson Street  - 71 Johnson Street  (2240),2240,Tower Hamlets,71 Johnson Street ,71 Johnson Street ,71 Johnson Street,E1 0AQ,Children and Specialist Services,IAPT,LEASEHOLD,2018-12-21 00:00:00,2025-12-20 00:00:00,Yes,3 months notice,1,124.0,,,0.0,0.0124
60 Florida St, E2 6LL, UK,Bethnal Green Health Centre  - Bethnal Green Health Centre  (2237),2237,Tower Hamlets,Bethnal Green Health Centre ,Bethnal Green Health Centre ,60 Florida St,E2 6LL,TH CHS / Accelerate,Foot Health (1 Room). Accelerate CIC (1 Room) for Leg Ulcer Clinics,LEASEHOLD,2019-03-31 00:00:00,2029-03-31 00:00:00,No,3 months notice,5,229.41,0.0,0.0,0.0,0.022941
Homerton Row , E9 6SR, UK,City & Hackney Centre For Mental Health - City & Hackney Centre for Mental Health  (2124),2124,City & Hackney,City & Hackney Centre For Mental Health,City & Hackney Centre for Mental Health ,Homerton Row ,E9 6SR,City & Hackney MH,Inpatient Unit,NO LEASE - PERIODIC UNDOCUMENTED TENANCY ,1995-10-01 00:00:00,2094-09-30 00:00:00,No,,70,9338.0,8300.0,1038.0,0.0,0.9338
Coate Street, E2 9AG, UK,Donald Winnicott Centre - Donald Winnicott (2125),2125,City & Hackney,Donald Winnicott Centre,Donald Winnicott,Coate Street,E2 9AG,City & Hackney MH,EQUIP/ South Hackney Recovery Team,FREEHOLD,ELFT,ELFT,,,ELFT,1015.0,974.0,41.0,0.0,0.1015
2 Crozier Terrace , E9 6AT, UK,Cedar Lodge, 2 Crozier Terrace, London, E9 6AT - Cedar Lodge (2250),2250,City & Hackney,Cedar Lodge, 2 Crozier Terrace, London, E9 6AT,Cedar Lodge,2 Crozier Terrace ,E9 6AT,City & Hackney MH,Specialist Psychotherapy Service/MBT Outreach/North Hackney Recovery Team/Neighbourhood Teams/Ocean (Maternal Mental Health Service) ,FREEHOLD,ELFT,ELFT,,,ELFT,2363.0,2169.0,120.0,0.0,0.2363
23 Primrose Square, E9 7TS , UK,Primrose Centre  - Primrose  (2127),2127,City & Hackney,Primrose Centre ,Primrose ,23 Primrose Square,E9 7TS ,City & Hackney MH,Community Rehabilitation Team/ELFT Recovery College/Autism and ADHD Assessment Clinics,LEASEHOLD,2021-04-14 00:00:00,2028-04-10 00:00:00,Yes,,4,535.0,525.0,10.0,0.0,0.0535
Green Lane , N4 2NU, UK,John Scott Health Centre - John Scott (2128),2128,City & Hackney,John Scott Health Centre,John Scott,Green Lane ,N4 2NU,Children and Specialist Services,CAMHS,LEASEHOLD,,2030-04-01 00:00:00,No,3 months notice,6,435.43,198.0,2.0,0.0,0.043543
15 Homerton Row, E9 6ED, UK,15 Homerton Row  - 15 Homerton Row (2129),2129,City & Hackney,15 Homerton Row ,15 Homerton Row,15 Homerton Row,E9 6ED,Children and Specialist Services,CAMHS,LEASEHOLD,2015-02-01 00:00:00,2025-02-01 00:00:00,Yes,,0.7,944.0,915.0,29.0,0.0,0.0944
30 Felstead St, E9 5LG, UK,30 Felstead St - 30 Felstead St (2130),2130,City & Hackney,30 Felstead St,30 Felstead St,30 Felstead St,E9 5LG,City & Hackney MH,MHCOP and Dementia Service,LEASEHOLD,2010-06-09 00:00:00,2134-06-08 00:00:00,No,,2133,729.0,688.0,41.0,0.0,0.0729
Nuttall St, N1 5LZ, UK,St Leonard's Hospital - St Leonard's Hospital 2nd Floor Block B (2248),2248,City & Hackney,St Leonard's Hospital,St Leonard's Hospital 2nd Floor Block B,Nuttall St,N1 5LZ,City & Hackney MH,Integrated LD Team office base,LEASEHOLD,2019-04-01 00:00:00,2029-04-01 00:00:00,No,3 months notice,5,122.57,122.57,0.0,0.0,0.012256999999999999
26 Shore Road , E9 7TA, UK,26 Shore Road  - Shore Road (2132),2132,City & Hackney,26 Shore Road ,Shore Road,26 Shore Road ,E9 7TA,Forensics,Changing Lanes/IIRMS/ELFOS/SCFT,LEASEHOLD,2023-06-23 00:00:00,2028-06-23 00:00:00,Yes,,4,240.0,240.0,0.0,0.0,0.024
